age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
22,7,3461,9,12,4,1,1,4,1,27,0,39,39,0
33,6,3788,9,12,2,4,0,4,1,0,0,12,39,0
21,4,18342,11,8,0,6,1,4,1,0,0,39,39,0
36,4,19995,1,6,2,6,0,2,1,0,0,39,39,0
11,4,25405,9,12,2,10,5,2,0,0,0,39,5,0
20,4,23149,12,13,2,4,5,4,0,0,0,39,39,0
32,4,11187,6,4,3,8,1,2,0,0,0,15,23,0
35,6,17735,11,8,2,4,0,4,1,0,0,44,39,2
14,4,1679,12,13,4,10,1,4,0,109,0,49,39,2
25,4,11093,9,12,2,4,0,4,1,81,0,39,39,2
20,4,22940,15,9,2,4,0,2,1,0,0,78,39,2
13,7,9261,9,12,2,10,0,1,1,0,0,39,19,2
6,4,7511,9,12,4,1,3,4,0,0,0,29,39,0
15,4,17234,7,11,4,12,1,2,1,0,0,49,39,0
23,4,7454,8,10,2,3,0,1,1,0,0,39,0,2
17,4,20832,5,3,2,14,0,0,1,0,0,44,26,0
8,6,13311,11,8,4,5,3,4,1,0,0,34,39,0
15,4,14744,11,8,4,7,4,4,1,0,0,39,39,0
21,4,393,1,6,2,12,0,4,1,0,0,49,39,0
26,6,23525,12,13,0,4,4,4,0,0,0,44,39,2
23,4,15728,10,15,2,10,0,4,1,0,0,59,39,2
37,4,23967,11,8,5,8,4,2,0,0,0,19,39,0
18,1,3418,6,4,2,5,0,2,1,0,0,39,39,0
26,4,6931,1,6,2,14,0,4,1,0,59,39,39,0
42,4,6020,11,8,0,13,4,4,0,0,0,39,39,0
39,2,18467,9,12,2,13,0,4,1,0,0,39,39,2
2,4,12150,11,8,4,3,3,4,1,0,0,39,39,0
37,0,13790,15,9,2,0,0,1,1,0,0,59,35,2
22,4,26354,11,8,0,4,1,4,1,0,0,78,39,0
32,4,15709,11,8,2,3,0,4,1,0,0,39,39,0
6,2,15317,7,11,4,11,1,4,1,0,0,51,39,0
3,4,22099,15,9,4,12,3,2,1,0,0,43,39,0
28,4,26820,9,12,0,4,3,4,1,0,15,39,39,0
13,1,2579,15,9,2,1,3,4,1,0,0,39,39,0
5,7,24377,15,9,2,8,0,2,1,0,0,14,39,0
31,4,20591,1,6,4,7,4,4,1,0,0,39,33,0
4,4,16214,15,9,4,7,3,4,1,0,0,39,39,0
2,4,28210,11,8,1,1,5,4,0,0,0,24,39,0
14,4,3848,15,9,2,12,0,4,1,0,0,37,0,2
31,6,22072,7,11,2,10,0,4,1,0,0,39,39,0
14,4,28097,6,4,2,7,0,4,1,0,0,42,39,0
36,6,4111,9,12,2,10,0,4,1,0,0,39,39,0
7,4,12751,9,12,2,13,0,4,1,0,0,49,39,0
32,4,4541,11,8,5,1,4,4,0,0,0,39,39,0
8,4,23424,11,8,4,6,1,4,1,0,0,34,39,0
40,1,25379,9,12,2,10,0,2,1,0,0,39,39,2
36,4,9602,11,8,2,7,0,4,1,0,0,37,39,0
27,4,8081,12,13,0,4,4,4,0,0,0,39,39,0
24,7,5216,8,10,2,3,0,4,1,0,0,39,39,0
12,4,22443,8,10,4,10,1,4,1,0,0,42,39,0
8,4,701,15,9,2,4,5,3,0,0,0,39,39,0
1,4,19347,11,8,4,8,3,4,0,0,0,29,0,0
30,4,2078,14,14,2,10,5,4,0,0,51,59,16,2
33,1,21222,9,12,0,4,1,4,1,0,0,54,39,2
30,5,6109,11,8,0,4,1,4,1,0,0,59,39,0
26,4,20269,15,9,2,13,0,4,1,0,0,39,39,2
29,4,18444,4,2,2,7,0,4,1,0,0,39,26,0
18,4,2392,8,10,2,8,0,4,1,0,0,39,33,0
24,4,9886,11,8,2,1,0,4,1,0,0,47,39,0
13,4,14953,11,8,2,7,0,4,1,79,0,39,39,0
13,4,2561,9,12,2,12,0,4,1,36,0,39,39,0
15,0,23612,5,3,3,0,1,4,1,0,0,39,0,0
31,4,10104,11,8,2,14,0,4,1,0,0,39,39,0
25,4,6878,10,15,2,10,0,4,1,0,0,44,39,2
12,4,5639,15,9,0,13,1,4,1,0,0,57,39,0
19,4,10699,11,8,2,3,0,4,1,0,0,39,39,0
11,4,14228,15,9,0,1,1,4,0,0,0,39,39,0
36,4,12342,11,8,2,1,5,4,0,0,0,39,39,2
32,5,15454,15,9,2,4,0,4,1,0,0,49,39,2
8,0,16713,15,9,4,0,3,4,1,0,0,39,39,0
2,4,5200,15,9,4,10,3,4,1,0,0,31,39,0
14,4,24317,9,12,5,12,3,2,0,0,0,39,39,0
12,6,11412,9,12,2,12,0,4,1,0,0,69,39,2
6,4,17960,15,9,4,7,1,4,1,0,0,39,39,0
62,4,7739,15,9,2,10,2,4,1,0,0,19,39,0
10,4,18187,11,8,4,8,3,4,1,0,0,39,26,0
23,4,696,7,11,2,1,0,4,1,0,0,39,39,0
50,0,18058,0,5,2,0,0,4,1,0,0,1,39,0
1,4,24311,1,6,4,8,3,4,0,0,0,21,39,0
14,2,7849,5,3,2,5,0,4,1,0,0,39,39,0
1,4,27711,11,8,4,12,1,4,1,0,0,29,39,0
35,4,22729,9,12,2,8,0,4,1,0,0,39,5,0
29,4,2065,11,8,2,8,5,4,0,0,0,39,39,0
42,4,11157,11,8,2,12,0,4,1,0,0,47,39,0
27,4,25613,11,8,0,3,1,4,0,110,0,39,39,2
36,4,25716,11,8,0,12,3,4,0,0,0,34,39,0
32,2,22254,11,8,2,11,0,4,1,0,0,39,39,2
16,4,16890,12,13,2,10,0,4,1,0,0,49,39,0
13,4,2256,6,4,4,12,1,4,1,0,0,39,39,0
26,1,27277,10,15,4,10,1,4,0,0,0,49,39,2
40,4,21123,8,10,2,10,0,4,1,0,0,39,39,0
20,4,23259,15,9,0,3,4,4,0,0,0,39,39,0
11,4,18040,15,9,0,7,4,2,0,0,0,24,39,0
13,4,7021,11,8,2,12,5,1,0,0,24,34,0,0
17,2,19290,9,12,2,11,0,4,1,0,0,39,39,2
12,2,6761,15,9,4,6,1,4,1,0,0,49,39,0
31,6,15399,10,15,2,10,0,4,1,0,51,59,39,2
20,4,16964,15,9,2,12,0,4,1,0,0,47,39,2
31,4,12506,7,11,0,4,4,4,0,0,0,39,9,0
15,1,21089,11,8,4,8,3,2,1,0,0,39,39,0
59,4,7694,12,13,2,4,0,4,1,0,0,39,39,2
27,4,16381,9,12,2,4,0,4,1,112,0,59,39,2
30,6,10048,12,13,4,10,1,4,0,0,0,49,39,0
3,4,14979,15,9,4,13,3,4,0,0,0,39,39,0
12,4,5405,11,8,4,3,1,4,1,0,0,39,39,0
15,5,24638,11,8,2,3,0,4,1,98,0,39,39,2
0,0,24099,0,5,4,0,3,4,0,120,0,31,39,0
13,4,15902,1,6,4,6,3,4,1,0,0,39,39,0
14,2,15129,11,8,4,1,1,4,0,0,0,39,39,0
25,4,7737,11,8,2,6,0,4,1,0,0,39,39,0
7,4,27560,9,12,4,12,2,4,1,0,0,39,39,0
21,4,2817,14,14,2,10,0,4,1,0,0,39,39,2
39,6,25284,11,8,2,8,0,4,1,0,50,49,2,2
11,4,26631,15,9,2,12,5,4,0,68,0,24,39,0
19,4,5346,11,8,4,7,3,4,0,0,0,39,39,0
36,4,4620,6,4,2,6,0,4,1,0,0,49,39,0
39,5,24006,15,9,2,12,0,4,1,0,0,49,39,0
32,2,16237,8,10,2,3,0,2,1,0,0,39,39,2
38,4,20957,15,9,2,12,0,4,1,0,0,55,39,0
5,4,5327,11,8,4,3,1,4,1,0,0,40,39,0
4,4,16614,15,9,4,8,3,4,0,0,0,39,39,0
23,4,7156,9,12,2,4,0,4,1,0,0,59,39,0
13,4,3437,9,12,4,4,3,2,1,0,0,39,11,0
12,7,22240,9,12,2,10,0,4,1,0,0,49,39,2
2,4,23941,15,9,4,8,3,2,1,0,0,34,39,0
30,4,23315,9,12,2,4,5,4,0,0,0,39,39,2
3,4,6319,15,9,4,1,3,4,0,0,36,27,39,0
14,4,6682,7,11,2,1,0,4,1,0,0,39,39,2
18,0,8171,11,8,2,0,0,4,1,0,0,39,39,0
22,4,26304,15,9,0,3,1,4,1,0,0,39,39,0
11,4,3042,7,11,4,12,1,4,0,0,0,59,39,0
7,4,1540,11,8,4,8,1,4,0,0,43,39,39,0
21,6,7369,11,8,2,3,0,4,1,70,0,34,39,0
20,4,21368,9,12,2,12,0,4,1,0,0,49,39,0
29,4,9771,7,11,0,13,1,2,0,0,0,35,39,0
21,1,7851,12,13,2,10,0,4,1,0,0,39,20,2
26,6,2427,11,8,2,3,0,4,1,0,0,59,39,0
10,4,11520,8,10,2,1,5,4,0,0,0,34,39,0
3,4,925,15,9,4,12,3,4,1,0,0,19,39,0
32,4,3704,15,9,2,3,0,1,1,0,0,39,39,2
44,5,2878,11,8,2,3,0,4,1,0,0,39,39,0
10,4,19835,15,9,4,12,3,4,0,0,0,39,39,0
2,4,24610,15,9,4,8,3,4,1,0,0,29,26,0
28,4,16135,8,10,4,10,1,4,0,0,23,39,39,2
53,4,5613,15,9,4,13,2,4,1,0,0,39,39,0
14,4,14598,11,8,4,14,4,2,0,0,0,29,39,0
5,4,13083,15,9,2,8,0,4,1,0,0,23,39,0
19,4,5934,11,8,6,8,4,4,0,0,0,23,39,0
47,4,13930,1,6,2,3,0,4,1,0,67,39,39,0
26,0,12974,15,9,0,0,1,4,0,0,0,39,39,0
30,2,14622,15,9,0,1,4,4,0,0,0,37,26,0
17,4,16357,11,8,4,1,1,4,0,0,0,39,39,0
16,4,11500,9,12,4,4,2,1,0,0,0,39,30,0
4,4,23716,11,8,4,3,3,4,1,0,0,34,39,0
35,0,21300,11,8,0,0,1,4,1,0,0,44,39,2
31,4,14890,11,8,2,3,0,4,1,0,0,45,39,0
6,4,18239,9,12,4,6,1,4,1,0,0,39,39,0
54,6,28027,15,9,5,12,4,2,1,0,44,1,39,0
12,4,15440,11,8,0,3,1,4,1,0,0,59,39,0
25,4,19487,9,12,5,8,2,2,1,0,0,49,39,0
51,0,1245,3,1,0,0,1,4,0,0,0,19,39,0
8,4,21293,11,8,4,8,4,4,0,0,0,39,39,0
27,5,3510,12,13,0,4,4,1,0,0,0,39,39,0
11,4,4105,11,8,4,4,1,1,0,0,0,39,9,0
28,6,16757,12,13,2,12,0,4,1,0,0,39,39,2
19,4,17471,15,9,0,8,4,4,0,0,0,39,26,0
22,1,20055,7,11,4,4,1,4,1,0,0,41,39,0
29,7,5325,12,13,6,11,4,4,1,0,0,39,39,0
1,4,206,1,6,4,6,3,4,1,0,0,15,39,0
49,2,2293,8,10,6,10,1,4,0,0,0,19,39,0
10,4,7764,11,8,4,8,1,4,1,0,56,39,39,0
11,7,13077,11,8,2,11,0,4,1,0,0,39,39,0
34,4,4658,15,9,2,12,0,4,1,0,55,39,39,2
10,4,27516,9,12,4,3,1,4,1,0,0,49,39,0
11,7,10102,9,12,2,10,0,4,1,0,0,39,39,2
10,4,21348,11,8,3,12,4,4,0,0,0,24,39,0
4,4,24444,11,8,4,3,3,2,1,0,0,39,39,0
17,4,27983,11,8,4,6,1,2,1,0,0,39,39,0
1,4,14344,11,8,4,8,3,4,1,0,0,11,39,0
16,4,1165,9,12,2,10,0,4,1,0,0,64,39,0
27,2,13946,15,9,2,4,0,2,1,0,0,37,39,2
26,4,6640,15,9,0,1,1,4,0,0,0,39,39,0
13,4,28374,15,9,4,3,1,2,1,0,0,44,39,0
23,4,23245,5,3,2,7,0,4,1,0,0,39,26,2
20,1,405,15,9,2,1,0,4,1,0,0,41,39,2
17,4,24056,11,8,2,1,0,2,1,0,0,39,39,0
24,6,9466,9,12,0,4,1,4,0,0,0,39,39,0
36,0,8696,9,12,0,0,1,4,0,0,0,49,39,0
14,4,5045,12,13,2,10,5,4,0,0,0,49,39,0
41,7,6087,10,15,2,10,0,4,1,0,0,0,39,2
21,4,10667,15,9,0,7,1,2,0,0,0,27,39,0
7,4,11107,15,9,2,7,0,4,1,0,0,39,39,0
24,2,28157,9,12,2,3,0,2,1,0,0,39,39,0
30,4,7366,15,9,2,13,0,4,1,0,0,44,39,0
24,1,8299,9,12,2,13,0,4,1,0,0,23,39,0
6,4,16243,4,2,2,14,2,4,1,0,0,39,26,0
19,4,4984,15,9,0,3,1,4,1,0,0,39,39,0
23,1,2420,12,13,4,4,1,4,0,109,0,54,39,2
18,4,9055,12,13,2,10,2,4,1,95,0,39,39,2
7,6,766,11,8,4,12,1,4,1,0,0,39,39,0
9,4,27010,12,13,4,10,1,4,0,0,49,39,39,0
2,0,12459,11,8,4,0,3,4,1,0,0,39,22,0
34,4,21712,9,12,2,4,0,4,1,0,0,49,39,2
25,2,21408,15,9,4,10,1,4,0,0,13,39,39,0
20,7,1830,11,8,0,1,4,4,0,0,0,34,39,0
1,4,9160,1,6,4,12,3,4,0,0,0,39,39,0
19,4,8124,9,12,2,8,0,2,1,95,0,35,39,2
18,4,1096,11,8,0,3,1,4,1,0,0,59,39,0
41,5,17833,11,8,2,12,5,4,0,112,0,34,39,2
0,4,2820,1,6,4,12,3,4,0,0,0,11,39,0
27,2,11263,11,8,2,14,0,2,1,0,0,39,39,0
20,4,17594,11,8,2,3,0,4,1,0,0,39,39,2
18,4,10521,15,9,4,12,1,0,0,0,0,39,39,0
43,4,3957,11,8,2,3,0,1,1,0,0,39,39,0
37,5,7808,5,3,2,7,0,4,1,0,0,39,39,2
20,4,28376,9,12,4,4,1,2,1,0,0,59,39,2
33,4,24457,7,11,0,12,1,4,0,0,0,39,39,0
21,4,14139,9,12,2,12,0,4,1,0,0,49,31,0
28,4,6067,9,12,2,10,0,4,1,0,0,54,39,0
